Latitude,Longitude,Analyst
46°16?39.2813?N,86°20?02.8532?E,Shagun
43°23?30.0493?N,76°35?59.2980?E,Shagun
44°09?42.1800?N,80°02?21.5600?E,Shagun
43°25?30.9200?N,77°04?21.6300?E,Shagun
43°27?11.6300?N,76°50?32.5100?E,Shagun
40°45?30.0100?N,73°24?05.8500?E,Shagun
40°27?07.1400?N,70°58?32.5700?E,Shagun
41°24?00.6900?N,69°09?57.1500?E,Shagun
41°11?55.2700?N,69°15?54.8500?E,Shagun
40°57?43.0500?N,68°46?07.3500?E,Shagun
41°08?53.7500?N,69°02?25.8800?E,Shagun
40°28?52.5900?N,68°43?25.3400?E,Shagun
37°48?04.1900?N,65°11?31.6200?E,Shagun
37°39?26.2700?N,61°49?43.3600?E,Shagun
39°06?57.2100?N,63°29?09.0100?E,Shagun
40°08?28.8600?N,63°28?18.2100?E,Shagun
38°49?59.0200?N,65°51?36.1700?E,Shagun
37°20?41.0857?N,60°32?09.2323?E,Shagun
36°13?29.6455?N,59°39?38.6011?E,Shagun
19°59?59.0616?N,110°55?16.7285?E,Shagun
19°08?12.7000?N,108°41?01.8800?E,Shagun
20°50?03.9600?N,97°45?48.3800?E,Shagun
5°06?48.9100?N,97°09?13.0700?E,Shagun
22°12?38.3920?N,91°51?08.8000?E,Shagun
29°37?33.9065?N,94°40?26.5879?E,Shagun
33°09?30.3328?N,73°38?14.1581?E,Shagun
29°12?11.5207?N,90°39?13.8378?E,Shagun
39°35?18.5886?N,98°53?51.5290?E,Shagun
40°13?11.5100?N,94°42?41.1000?E,Shagun
39°23?59.9575?N,76°00?05.2456?E,Shagun
39°48?03.7178?N,78°34?26.0437?E,Shagun
37°53?43.7344?N,77°19?26.3714?E,Shagun
38°08?19.3897?N,85°31?10.1024?E,Shagun
41°39?34.3800?N,86°12?08.6400?E,Shagun
37°00?14.5100?N,79°55?21.3000?E,Shagun
37°02?41.2703?N,79°51?44.3892?E,Shagun
41°13?59.3156?N,80°15?46.4719?E,Shagun
41°45?11.7100?N,84°15?18.9400?E,Shagun
41°39?29.8200?N,86°08?19.5200?E,Shagun
42°09?32.9400?N,87°10?48.9700?E,Shagun
39°49?07.1356?N,98°13?49.9244?E,Shagun
28°03?20.0801?N,91°57?04.9214?E,Shagun
29°17?49.6409?N,90°57?55.4628?E,Shagun
27°50?07.6761?N,89°08?05.4329?E,Shagun
29°20?45.0410?N,89°15?55.9515?E,Shagun
25°38?34.8970?N,57°45?56.2391?E,Shagun
31°26?55.3876?N,92°03?45.5012?E,Shagun
31°08?38.2724?N,97°16?29.9381?E,Shagun
36°27?23.5700?N,94°54?26.8000?E,Shagun
17°08?09.1600?N,96°04?10.4400?E,Shagun
1°21?24.5600?N,103°40?46.4500?E,Shagun
